iso_a3,continent,region_id,country,income_id,gdp,population,total_waste,composition,percent
BDI,Africa,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,paper_cardboard,7.3
BDI,Africa,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,plastic,3.5
BDI,Africa,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,rubber_leather,NA
BDI,Africa,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,wood,NA
BDI,Africa,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,yard_garden_green_waste,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,food_organic_waste,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,glass,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,metal,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,other,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,paper_cardboard,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,plastic,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,rubber_leather,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,wood,NA
CPV,Africa,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,yard_garden_green_waste,NA
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,food_organic_waste,83.4
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,glass,0.1
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,metal,0.7
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,other,10.4
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,paper_cardboard,2.1
